data_hora,rede,grupo_comparacao,sku,tipo_produto,concentracao_mg_ml,volume_ml,green_price,mantecorp_price,delta_abs,premium_pct,status,peso_sku,peso_rede,peso_total,gc_produto,mt_produto,gc_url,mt_url
2026-03-25 16:32:50,DrogaRaia,"Canabidiol_23,75mg_10ml","CBD_ISOLADO_23,75mg_10ml",CBD_ISOLADO,"23,75",10,149.6,129.9,19.7,15.17,CRITICO,0.2,0.2,0.04,"Canabidiol 23,75mg/ml Solução Oral 10ml Greencare","Canabidiol 23,75mg/ml Solução Gotas 10ml Mantecorp",https://www.drogaraia.com.br/canabidiol-greencare-23-75mg-10ml.html?origin=search,https://www.drogaraia.com.br/canabidiol-mantecorp-23-75mg-gotas-10ml.html?origin=search
2026-03-25 16:33:48,DrogaRaia,"Extrato_de_Cannabis_Sativa_160,32mg_10ml","EXTRATO_CANNABIS_160,32mg_10ml",EXTRATO_CANNABIS,"160,32",10,424.08,379.9,44.18,11.63,CRITICO,0.3,0.2,0.06,"Extrato de Cannabis Sativa 160,32mg/ml Solução Oral 10ml Greencare","Extrato de Cannabis Sativa 160,32mg/ml Solução Oral 10ml Mantecorp",https://www.drogaraia.com.br/cannabis-sativa-greencare-160-32mg-10ml.html?origin=search,https://www.drogaraia.com.br/extrato-de-cannabis-sativa-mantecorp-160-32mg-10ml.html?origin=search
2026-03-25 16:33:19,DrogaRaia,"Extrato_de_Cannabis_Sativa_79,14mg_30ml","EXTRATO_CANNABIS_79,14mg_30ml",EXTRATO_CANNABIS,"79,14",30,741.75,696.6,45.15,6.48,ACEITAVEL,0.5,0.2,0.1,"Extrato de Cannabis Sativa 79,14mg/ml Solução Oral 30ml Greencare","Extrato de Cannabis Sativa 79,14mg/ml Solução Oral 30ml Mantecorp",https://www.drogaraia.com.br/cannabis-sativa-greencare-79-14mg-30ml.html?origin=search,https://www.drogaraia.com.br/extrato-de-cannabis-sativa-79-14-mg-ml-30ml.html?origin=search
2026-03-25 16:34:21,DrogariaSaoPaulo,"Canabidiol_23,75mg_10ml","CBD_ISOLADO_23,75mg_10ml",CBD_ISOLADO,"23,75",10,149.6,127.54,22.06,17.3,CRITICO,0.2,0.3,0.06,"Canabidiol 23,75mg/Ml GreenCare 10ml","Canabidiol 23,75mg/ml Mantecorp 10ml Solução Gotas",https://www.drogariasaopaulo.com.br/extrato-de-cannabis-sativa-23-75mg-ml-greencare-10ml/p,https://www.drogariasaopaulo.com.br/canabidiol-23-75mg-ml-mantecorp-10ml-solucao-gotas/p
2026-03-25 16:35:24,DrogariaSaoPaulo,"Extrato_de_Cannabis_Sativa_160,32mg_10ml","EXTRATO_CANNABIS_160,32mg_10ml",EXTRATO_CANNABIS,"160,32",10,424.08,379.87,44.21,11.64,CRITICO,0.3,0.3,0.09,"Extrato de Cannabis 160,32mg/Ml GreenCare 10ml","Extrato de Cannabis 160,32mg/ml Mantecorp 10ml Solução Gotas + Conta-Gotas Graduado",https://www.drogariasaopaulo.com.br/extrato-de-cannabis-sativa-160-32mg-ml-greencare-10ml/p,https://www.drogariasaopaulo.com.br/extrato-de-cannabis-sativa-160-32mg-ml-mantecorp-farmasa-10ml-solucao-gotas---conta-gotas-graduado/p
2026-03-25 16:34:53,DrogariaSaoPaulo,"Extrato_de_Cannabis_Sativa_79,14mg_30ml","EXTRATO_CANNABIS_79,14mg_30ml",EXTRATO_CANNABIS,"79,14",30,741.75,696.6,45.15,6.48,ACEITAVEL,0.5,0.3,0.15,"Extrato de Cannabis 79,14mg/Ml GreenCare 30ml","Extrato de Cannabis 79,14mg/mL Mantecorp 30ml",https://www.drogariasaopaulo.com.br/extrato-de-cannabis-sativa-79-14mg-ml-greencare-10ml/p,https://www.drogariasaopaulo.com.br/extrato-de-cannabis-sativa-79-14mg-ml-mantecorp-30ml/p
2026-03-25 16:30:57,Drogasil,"Canabidiol_23,75mg_10ml","CBD_ISOLADO_23,75mg_10ml",CBD_ISOLADO,"23,75",10,149.6,129.9,19.7,15.17,CRITICO,0.2,0.2,0.04,"Canabidiol 23,75mg/ml Solução Oral 10ml Greencare","Canabidiol 23,75mg/ml Solução Gotas 10ml Mantecorp",https://www.drogasil.com.br/canabidiol-greencare-23-75mg-10ml.html?origin=search,https://www.drogasil.com.br/canabidiol-mantecorp-23-75mg-gotas-10ml.html?origin=search
2026-03-25 16:32:14,Drogasil,"Extrato_de_Cannabis_Sativa_160,32mg_10ml","EXTRATO_CANNABIS_160,32mg_10ml",EXTRATO_CANNABIS,"160,32",10,424.08,379.9,44.18,11.63,CRITICO,0.3,0.2,0.06,"Extrato de Cannabis Sativa 160,32mg/ml Solução Oral 10ml Greencare","Extrato de Cannabis Sativa 160,32mg/ml Solução Oral 10ml Mantecorp",https://www.drogasil.com.br/cannabis-sativa-greencare-160-32mg-10ml.html?origin=search,https://www.drogasil.com.br/extrato-de-cannabis-sativa-mantecorp-160-32mg-10ml.html?origin=search
2026-03-25 16:31:34,Drogasil,"Extrato_de_Cannabis_Sativa_79,14mg_30ml","EXTRATO_CANNABIS_79,14mg_30ml",EXTRATO_CANNABIS,"79,14",30,741.75,696.6,45.15,6.48,ACEITAVEL,0.5,0.2,0.1,"Extrato de Cannabis Sativa 79,14mg/ml Solução Oral 30ml Greencare","Extrato de Cannabis Sativa 79,14mg/ml Solução Oral 30ml Mantecorp",https://www.drogasil.com.br/cannabis-sativa-greencare-79-14mg-30ml.html?origin=search,https://www.drogasil.com.br/extrato-de-cannabis-sativa-79-14-mg-ml-30ml.html?origin=search
2026-03-25 16:39:33,PagueMenos,"Canabidiol_23,75mg_10ml","CBD_ISOLADO_23,75mg_10ml",CBD_ISOLADO,"23,75",10,149.6,129.9,19.7,15.17,CRITICO,0.2,0.2,0.04,"Canabidiol Greencare 23,75mg/ml Solução ... CANABIDIOL R$ 149,60","Canabidiol Mantecorp 23,75mg/ml Solução ... CANNABIS MANTERCORP R$ 129,90",https://www.paguemenos.com.br/extrato-cannabis-greencare-23-75mg-mlsolucao-em-gotas-10ml-psicotropico-p-b1/p,https://www.paguemenos.com.br/extrato-de-cannabis-mantecorp-23-75mg-ml-solucao-em-gotas-10ml-psicotropico-p-b1/p
2026-03-25 16:40:16,PagueMenos,"Extrato_de_Cannabis_Sativa_160,32mg_10ml","EXTRATO_CANNABIS_160,32mg_10ml",EXTRATO_CANNABIS,"160,32",10,424.08,379.9,44.18,11.63,CRITICO,0.3,0.2,0.06,"Extrato de Cannabis Sativa GreenCare 160... CANABIDIOL GREENCARE R$ 424,08","Extrato de Cannabis Sativa Mantecorp Far... CANNABIS MANTERCORP R$ 379,90",https://www.paguemenos.com.br/extrato-de-cannabis-greencare-160-32mg-ml-solucao-com-10ml-psicotropico-p-b1/p,https://www.paguemenos.com.br/extrato-de-cannabis-sativa-160-32mg-ml-mantecorp-farmasa-solucao-em-gotas-10ml-mais-conta-gotas-psicotropico-p-b1/p
2026-03-25 16:39:54,PagueMenos,"Extrato_de_Cannabis_Sativa_79,14mg_30ml","EXTRATO_CANNABIS_79,14mg_30ml",EXTRATO_CANNABIS,"79,14",30,741.75,640.0,101.75,15.9,CRITICO,0.5,0.2,0.1,"Extrato de Cannabis Sativa 79,14mg/ml So... CANABIDIOL GREENCARE R$ 741,75","Extrato de Cannabis Sativa Mantecorp Far... CANNABIS MANTERCORP R$ 640,00",https://www.paguemenos.com.br/extrato-de-cannabis-sativa-greencare-79-14mg-ml-solucao-30ml-psicotropico-p-b1/p,https://www.paguemenos.com.br/extrato-cannabis-sativa-79-14-mg-ml-mantecorp-farmasa-frasco-30ml-psicotropico-p-b1/p
2026-03-25 16:36:20,Panvel,"Canabidiol_23,75mg_10ml","CBD_ISOLADO_23,75mg_10ml",CBD_ISOLADO,"23,75",10,187.0,181.18,5.82,3.21,ACEITAVEL,0.2,0.1,0.02,"Canabidiol 23,75mg/ml Solucao Oral 10 Ml Greencare B1","Canabidiol 23,75mg/ml Solução Oral 10 Ml Mantecorp B1",https://www.panvel.com/panvel/canabidiol-2375mg-ml-solucao-oral-10-ml-greencare-b1/p-100276,https://www.panvel.com/panvel/canabidiol-2375mg-ml-solucao-oral-10-ml-mantecorp-b1/p-99700
2026-03-25 16:38:45,Panvel,"Extrato_de_Cannabis_Sativa_160,32mg_10ml","EXTRATO_CANNABIS_160,32mg_10ml",EXTRATO_CANNABIS,"160,32",10,589.0,599.92,-10.92,-1.82,ABAIXO_MANTECORP,0.3,0.1,0.03,"Extrato Cannabis Sativa 160,32mg/ml Solucao Oral 10 Ml Greencare A3","Extrato Cannabis Sativa 160,32mg/ml Solução Oral 10 Ml Mantecorp A3",https://www.panvel.com/panvel/extrato-cannabis-sativa-16032mg-ml-solucao-oral-10-ml-greencare-a3/p-100278,https://www.panvel.com/panvel/extrato-cannabis-sativa-16032mg-ml-solucao-oral-10-ml-mantecorp-a3/p-99631
2026-03-25 16:37:34,Panvel,"Extrato_de_Cannabis_Sativa_79,14mg_30ml","EXTRATO_CANNABIS_79,14mg_30ml",EXTRATO_CANNABIS,"79,14",30,989.0,928.8,60.2,6.48,ACEITAVEL,0.5,0.1,0.05,"Extrato Cannabis Sativa 79,14mg/ml Solucao Oral 30 Ml Greencare B1","Extrato Cannabis Sativa 79,14mg/ml Solucao Oral 30ml Mantecorp B1",https://www.panvel.com/panvel/extrato-cannabis-sativa-7914mg-ml-solucao-oral-30-ml-greencare-b1/p-100277,https://www.panvel.com/panvel/extrato-cannabis-sativa-7914mg-ml-solucao-oral-30ml-mantecorp-b1/p-100599
